NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
247,부산광역시 해운대구 중동,1839,1839,0,롯데캐슬스타,전세,84.9177,202508,10,"51,000",0,18,2020,중동2로34번길 15,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 중동 중동2로34번길 15,106500
249,부산광역시 북구 구포동,1103-2,1103,2,구포현대,전세,78.18,202508,10,"17,500",0,10,1994,백양대로 1003,202510~202710,신규,-,,,아파트,,,,부산광역시 북구 구포동 백양대로 1003,25000
250,부산광역시 부산진구 전포동,908,908,0,서면아이파크1단지,전세,72.5835,202508,10,"40,000",0,27,2021,동성로 50,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 동성로 50,55000
253,부산광역시 부산진구 개금동,1월 4일,1,4,삼환,전세,84.93,202508,10,"14,500",0,5,1995,백양대로208번길 133,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 개금동 백양대로208번길 133,18300
259,부산광역시 연제구 거제동,1467-1,1467,1,거제동롯데캐슬,전세,84.937,202508,10,"30,000",0,2,2001,세병로 44,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 거제동 세병로 44,42000
261,부산광역시 연제구 연산동,578-1,578,1,삼익,전세,62.64,202508,10,"17,000",0,13,1979,중앙대로 1164,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 연산동 중앙대로 1164,29000
264,부산광역시 기장군 정관읍 모전리,728,728,0,동일스위트3차,전세,84.9938,202508,9,"23,000",0,16,2014,모전1길 9,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 모전리 모전1길 9,29000
266,부산광역시 기장군 정관읍 용수리,1279,1279,0,정관이진캐스빌2차,전세,84.7894,202508,9,"23,000",0,3,2017,가동3로 19,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 용수리 가동3로 19,30500
267,부산광역시 기장군 정관읍 용수리,1387,1387,0,정관동일스위트1차,전세,84.9923,202508,9,"24,000",0,20,2012,정관4로 24,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 용수리 정관4로 24,28800
268,부산광역시 연제구 연산동,2382,2382,0,힐스테이트연산,전세,59.9797,202508,9,"30,000",0,22,2021,봉수로 2,202510~202710,신규,-,,,아파트,,,,부산광역시 연제구 연산동 봉수로 2,44500
