NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
210,부산광역시 기장군 기장읍 내리,776,776.0,0.0,동부산동원로얄듀크,전세,84.74,202508,"25,000",5.0,2009.0,기장대로 67,202509~202709,아파트,부산광역시 기장군 기장읍 내리 기장대로 67,34500
219,부산광역시 연제구 거제동,714-144,714.0,144.0,유림아시아드,전세,130.89,202508,"30,000",25.0,2001.0,해맞이로 23,202509~202709,아파트,부산광역시 연제구 거제동 해맞이로 23,52500
220,부산광역시 기장군 일광읍 삼성리,820,820.0,0.0,일광신도시비스타동원1차,전세,104.2061,202508,"40,000",17.0,2020.0,해빛2로 24,202509~202709,아파트,부산광역시 기장군 일광읍 삼성리 해빛2로 24,61800
225,부산광역시 기장군 정관읍 매학리,723,723.0,0.0,정관2차동원로얄듀크,전세,59.997,202508,"22,000",9.0,2013.0,정관5로 12,202509~202709,아파트,부산광역시 기장군 정관읍 매학리 정관5로 12,25000
227,부산광역시 기장군 정관읍 방곡리,405,405.0,0.0,정관가화만사성더테라스2차,전세,60.1758,202508,"22,000",2.0,2018.0,구연방곡로 106,202508~202708,아파트,부산광역시 기장군 정관읍 방곡리 구연방곡로 106,37000
228,부산광역시 해운대구 좌동,1302,1302.0,0.0,동신,전세,55.68,202508,"19,000",1.0,1996.0,좌동순환로217번길 7,202510~202710,아파트,부산광역시 해운대구 좌동 좌동순환로217번길 7,41700
229,부산광역시 해운대구 좌동,1333,1333.0,0.0,대우,전세,59.946,202508,"21,000",7.0,1996.0,세실로 19,202508~202708,아파트,부산광역시 해운대구 좌동 세실로 19,38500
233,부산광역시 사하구 다대동,120-1,120.0,1.0,다대포현대,전세,78.3,202508,"15,000",7.0,1993.0,다대로 473,202509~202709,아파트,부산광역시 사하구 다대동 다대로 473,20500
236,부산광역시 사하구 신평동,674,674.0,0.0,사하코오롱하늘채,전세,84.8943,202508,"27,000",18.0,2021.0,신산북로 41,202510~202710,아파트,부산광역시 사하구 신평동 신산북로 41,26400
241,부산광역시 금정구 장전동,717,717.0,0.0,벽산블루밍장전디자인시티2단지,전세,84.99,202508,"35,000",2.0,2012.0,금강로 225,202509~202709,아파트,부산광역시 금정구 장전동 금강로 225,48000
242,부산광역시 강서구 명지동,3234,3234.0,0.0,명지두산위브포세이돈,전세,84.9819,202508,"24,000",9.0,2013.0,명지오션시티11로 22,202511~202711,아파트,부산광역시 강서구 명지동 명지오션시티11로 22,36000
245,부산광역시 해운대구 반여동,1600-1,1600.0,1.0,그린파크,전세,47.68,202508,"6,000",4.0,1988.0,재반로270번길 13,202509~202709,아파트,부산광역시 해운대구 반여동 재반로270번길 13,9000
247,부산광역시 해운대구 중동,1839,1839.0,0.0,롯데캐슬스타,전세,84.9177,202508,"51,000",18.0,2020.0,중동2로34번길 15,202510~202710,아파트,부산광역시 해운대구 중동 중동2로34번길 15,106500
249,부산광역시 북구 구포동,1103-2,1103.0,2.0,구포현대,전세,78.18,202508,"17,500",10.0,1994.0,백양대로 1003,202510~202710,아파트,부산광역시 북구 구포동 백양대로 1003,25000
250,부산광역시 부산진구 전포동,908,908.0,0.0,서면아이파크1단지,전세,72.5835,202508,"40,000",27.0,2021.0,동성로 50,202510~202710,아파트,부산광역시 부산진구 전포동 동성로 50,55000
253,부산광역시 부산진구 개금동,1월 4일,1.0,4.0,삼환,전세,84.93,202508,"14,500",5.0,1995.0,백양대로208번길 133,202508~202708,아파트,부산광역시 부산진구 개금동 백양대로208번길 133,18300
259,부산광역시 연제구 거제동,1467-1,1467.0,1.0,거제동롯데캐슬,전세,84.937,202508,"30,000",2.0,2001.0,세병로 44,202509~202709,아파트,부산광역시 연제구 거제동 세병로 44,42000
261,부산광역시 연제구 연산동,578-1,578.0,1.0,삼익,전세,62.64,202508,"17,000",13.0,1979.0,중앙대로 1164,202509~202709,아파트,부산광역시 연제구 연산동 중앙대로 1164,29000
264,부산광역시 기장군 정관읍 모전리,728,728.0,0.0,동일스위트3차,전세,84.9938,202508,"23,000",16.0,2014.0,모전1길 9,202509~202709,아파트,부산광역시 기장군 정관읍 모전리 모전1길 9,29000
266,부산광역시 기장군 정관읍 용수리,1279,1279.0,0.0,정관이진캐스빌2차,전세,84.7894,202508,"23,000",3.0,2017.0,가동3로 19,202509~202709,아파트,부산광역시 기장군 정관읍 용수리 가동3로 19,30500
267,부산광역시 기장군 정관읍 용수리,1387,1387.0,0.0,정관동일스위트1차,전세,84.9923,202508,"24,000",20.0,2012.0,정관4로 24,202509~202709,아파트,부산광역시 기장군 정관읍 용수리 정관4로 24,28800
268,부산광역시 연제구 연산동,2382,2382.0,0.0,힐스테이트연산,전세,59.9797,202508,"30,000",22.0,2021.0,봉수로 2,202510~202710,아파트,부산광역시 연제구 연산동 봉수로 2,44500
271,부산광역시 사상구 학장동,858,858.0,0.0,학장동삼정그린코아아파트,전세,84.9513,202508,"30,000",10.0,2014.0,학감대로123번길 67,202510~202710,아파트,부산광역시 사상구 학장동 학감대로123번길 67,27500
272,부산광역시 기장군 정관읍 용수리,1275,1275.0,0.0,정관양우내안愛,전세,59.9527,202508,"18,000",13.0,2016.0,정관5로 144,202510~202710,아파트,부산광역시 기장군 정관읍 용수리 정관5로 144,20800
276,부산광역시 해운대구 중동,1818,1818.0,0.0,해운대힐스테이트위브,전세,102.3162,202508,"40,000",30.0,2015.0,좌동순환로433번길 30,202510~202710,아파트,부산광역시 해운대구 중동 좌동순환로433번길 30,75000
281,부산광역시 남구 용호동,980,980.0,0.0,데시앙해링턴플레이스파크시티,전세,59.9725,202508,"29,000",22.0,2023.0,용주로 36,202510~202710,아파트,부산광역시 남구 용호동 용주로 36,38000
282,부산광역시 해운대구 재송동,1146-1,1146.0,1.0,재송그린,전세,50.31,202508,"5,000",5.0,1984.0,재반로118번길 71,202508~202708,아파트,부산광역시 해운대구 재송동 재반로118번길 71,12200
283,부산광역시 해운대구 재송동,1200,1200.0,0.0,더샵센텀파크1차,전세,125.4155,202508,"78,000",40.0,2005.0,센텀중앙로 145,202511~202711,아파트,부산광역시 해운대구 재송동 센텀중앙로 145,116000
